Country,N,Mean,Mean_SE,median,Gini,Gini_SE,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,HC_20,HC_50,HC_80,HC_SE_20,HC_SE_50,HC_SE_80,CI_lower_20,CI_lower_50,CI_lower_80,CI_upper_20,CI_upper_50,CI_upper_80
jp17,4094,5493487.657,54920.369,4685512.085,0.338142758,0.00620786,2.239158397,6.301798758,11.75629694,18.43859454,26.33972128,35.71462705,46.83339373,60.0231864,76.17428007,100,0.033145271,0.217669608,0.462710888,0.002797805,0.006449411,0.007792646,0.027661673,0.205028994,0.447437582,0.038628869,0.230310222,0.477984194
jp18,5807,5406167.711,47504.014,4746005.001,0.343340758,0.0055531,1.929528648,5.936922735,11.32143915,17.98100292,26.0089255,35.55813021,46.74166785,59.98460418,76.05791143,100,0.043854721,0.219152575,0.449422393,0.002687164,0.005428508,0.006527708,0.038587976,0.208512895,0.436628321,0.049121466,0.229792255,0.462216465
jp19,5179,5504201.341,52121.853,4768945.007,0.346358712,0.00633195,2.01719726,5.986462815,11.2751378,17.89143722,25.87883978,35.3235288,46.47443487,59.65747045,75.54422939,100,0.041630803,0.226490385,0.452701868,0.002775562,0.005816139,0.00691664,0.036190802,0.215090962,0.439145503,0.047070804,0.237889808,0.466258233
jp20,4511,5606048.822,56517.125,4815848.002,0.347845164,0.00662406,2.008201624,5.960187007,11.27322102,17.8180469,25.75641105,35.15314591,46.2295194,59.46589739,75.6184205,100,0.041116029,0.224453232,0.45193101,0.002956325,0.006211987,0.007409984,0.035321738,0.212277962,0.437407708,0.04691032,0.236628502,0.466454312
kr06,15358,29053609.6,158220.93,25821216,0.357782944,0.00268469,1.573258296,4.990010571,10.08147607,16.69493447,24.82057816,34.52407724,45.96799188,59.52564528,75.91004651,100,0.069195136,0.242862534,0.441620624,0.002047858,0.003460193,0.004007025,0.065181409,0.236080681,0.433767,0.073208863,0.249644387,0.449474248
kr08,13492,31312404.21,191437.75,27453588,0.371784154,0.00330865,1.456765316,4.601929196,9.426081411,15.90131113,23.92248324,33.52131241,44.93292105,58.45900294,75.03961955,100,0.078838858,0.260932182,0.450419342,0.002320063,0.003780662,0.004283375,0.074291618,0.253522221,0.442024082,0.083386098,0.268342143,0.458814602
kr10,13196,33427617.91,208079.87,30077064,0.37073619,0.00349631,1.301621997,4.377104444,9.176259667,15.70593558,23.89200856,33.67045057,45.21150744,58.88431134,75.48033175,100,0.089209938,0.260465296,0.438757951,0.002481388,0.003820613,0.004319828,0.084346508,0.252977032,0.430291244,0.094073368,0.26795356,0.447224658
kr12,12973,37105660.59,228986.67,33335592,0.372297042,0.00341024,1.278826978,4.299244662,9.054044515,15.53925885,23.71871816,33.56620911,45.14248158,58.8103605,75.44833607,100,0.092380711,0.265554818,0.440246878,0.002542274,0.003877364,0.004358391,0.087397946,0.257955324,0.431704588,0.097363476,0.273154312,0.448789168
kr14,12268,38348952.35,238092.12,34589316,0.371982711,0.00332543,1.298113733,4.213112204,8.915593982,15.44980992,23.69977959,33.57846371,45.21235645,58.92541932,75.66025732,100,0.094916066,0.266543336,0.432859163,0.002646229,0.003991942,0.00447334,0.089729553,0.258719273,0.424091578,0.100102579,0.274367399,0.441626748
kr16,18446,48798697.91,326593.83,39460000,0.4208355,0.00280291,1.273162597,3.888961598,7.975644688,13.60945946,20.8620394,29.83953062,40.77568724,54.25671352,71.36931324,100,0.104164014,0.310169526,0.495137736,0.002249169,0.003405804,0.003681276,0.099755725,0.303494273,0.487922568,0.108572303,0.316844779,0.502352904
kr17,18600,50580525.29,328921.72,40850000,0.419685842,0.00265825,1.301160673,3.956886528,8.061890225,13.72009945,20.96273461,29.88404127,40.77089306,54.23250198,71.37468395,100,0.102146159,0.308331965,0.495299348,0.002220534,0.003386115,0.003666016,0.097793993,0.301695302,0.488114089,0.106498325,0.314968628,0.502484607
kr18,18372,51494256.93,323734.25,41950000,0.414040556,0.00258623,1.393257203,4.096678358,8.241858156,13.94370975,21.27013249,30.22528323,41.16126541,54.66944219,71.86652036,100,0.097269499,0.305334802,0.491757576,0.002186196,0.003397799,0.003688355,0.092984633,0.298675238,0.484528532,0.101554365,0.311994366,0.49898662
kr19,18039,52266164.28,359177.13,42640000,0.411445811,0.00389741,1.45060818,4.223314075,8.372434003,14.06783455,21.38980809,30.44348745,41.47026683,54.93796328,71.93015996,100,0.09148466,0.306048134,0.490290944,0.002146516,0.003431258,0.003722047,0.087277567,0.299322993,0.482995865,0.095691753,0.312773275,0.497586023
kr20,18163,53876341.05,365497.63,44090000,0.402620811,0.00408753,1.594281758,4.564599134,8.938735471,14.72401726,22.05343339,31.13108697,42.11061884,55.42755961,72.19441146,100,0.078943569,0.295638188,0.488130869,0.002000819,0.00338598,0.003708974,0.075022037,0.289001789,0.480861413,0.082865101,0.302274587,0.495400325
kr21,17925,56255084.11,349733.96,45540000,0.405056049,0.00273607,1.529100182,4.472502533,8.821811132,14.61215556,21.8949794,30.87582184,41.83618648,55.18347964,72.14797137,100,0.082248083,0.296222187,0.494146215,0.002052088,0.003410335,0.003734312,0.078226065,0.289538054,0.486827097,0.086270101,0.30290632,0.501465333
lt09,5256,8396.757831,107.9237,6448.806286,0.421234217,0.00668901,1.779642293,5.006110174,9.050003032,14.34201955,21.22744343,29.70296931,40.12893201,52.95170549,69.73461451,100,0.050452213,0.33286258,0.522770432,0.003019054,0.006499987,0.00688956,0.044534976,0.32012284,0.509267142,0.05636945,0.34560232,0.536273722
lt10,5154,7438.681655,82.116805,5722.031295,0.396213821,0.00487479,2.059540588,5.585814237,9.958272376,15.58758581,22.64801439,31.19489029,41.68115878,54.76287736,72.02766407,100,0.040306479,0.308409503,0.515193154,0.002739564,0.006433039,0.00696141,0.034937032,0.295800978,0.501549041,0.045675926,0.321018028,0.528837267
lt11,5348,8313.004081,89.19141,6417.078731,0.395634392,0.00461189,2.184504877,5.541789491,9.842693864,15.46576405,22.48502446,31.03543109,41.67347,55.07767707,72.47503002,100,0.032961059,0.304589434,0.519834552,0.002441332,0.006293357,0.006831756,0.028176136,0.292254681,0.506444557,0.037745982,0.316924187,0.533224547
lt12,5111,8973.355948,108.42757,6714.390842,0.413815566,0.00638507,2.005572612,5.269890185,9.478433404,14.93051852,21.72698343,30.07081396,40.39262885,53.29036139,70.27456771,100,0.037904196,0.320489202,0.533188164,0.00267116,0.006527576,0.006978438,0.032668819,0.307695388,0.519510676,0.043139573,0.333283016,0.546865652
lt13,5166,9531.060493,116.77647,7036.184979,0.422545849,0.0058122,1.9713906,5.078491061,9.048206512,14.31769747,21.04817551,29.27091148,39.59887414,52.73381935,69.96530942,100,0.042142673,0.331829668,0.538833789,0.002795338,0.006551247,0.006935519,0.036663912,0.318989459,0.525240422,0.047621434,0.344669877,0.552427156
